date,strike,expiry,type,oi,iv,days_to_expiry,settlement
2026-06-18,20000,2026-07-09,put,2102,1.5349,21,1.0
2026-06-18,22000,2026-07-09,put,405,1.4223,21,1.0
2026-06-18,24000,2026-07-09,put,188,1.3875,21,2.0
2026-06-18,25000,2026-07-09,put,2544,1.3371,21,2.0
2026-06-18,26000,2026-07-09,put,386,1.2886,21,2.0
2026-06-18,27000,2026-07-09,put,135,1.242,21,2.0
2026-06-18,28000,2026-07-09,put,90,1.1971,21,2.0
2026-06-18,29000,2026-07-09,put,240,1.1909,21,3.0
2026-06-18,30000,2026-07-09,put,2113,1.1478,21,3.0
2026-06-18,31000,2026-07-09,put,218,1.1061,21,3.0
2026-06-18,32000,2026-07-09,put,667,1.0657,21,3.0
2026-06-18,33000,2026-07-09,put,327,1.0513,21,4.0
2026-06-18,34000,2026-07-09,put,85,1.0125,21,4.0
2026-06-18,35000,2026-07-09,put,1901,0.9937,21,5.0
2026-06-18,35500,2026-07-09,put,100,0.9749,21,5.0
2026-06-18,35750,2026-07-09,put,5000,0.9656,21,5.0
2026-06-18,36000,2026-07-09,put,179,0.9564,21,5.0
2026-06-18,36500,2026-07-09,put,106,0.9534,21,6.0
2026-06-18,36750,2026-07-09,put,3,0.9443,21,6.0
2026-06-18,37000,2026-07-09,put,69,0.9484,21,7.0
2026-06-18,37250,2026-07-09,put,1,0.9392,21,7.0
2026-06-18,37500,2026-07-09,put,105,0.9301,21,7.0
2026-06-18,38000,2026-07-09,put,162,0.912,21,7.0
2026-06-18,38250,2026-07-09,put,2,0.9031,21,7.0
2026-06-18,38500,2026-07-09,put,231,0.9055,21,8.0
2026-06-18,39000,2026-07-09,put,650,0.8877,21,8.0
2026-06-18,39500,2026-07-09,put,60,0.88,21,9.0
2026-06-18,39750,2026-07-09,put,4,0.8712,21,9.0
2026-06-18,40000,2026-07-09,put,2111,0.8624,21,9.0
2026-06-18,40250,2026-07-09,put,14,0.8626,21,10.0
2026-06-18,40500,2026-07-09,put,168,0.8538,21,10.0
2026-06-18,40750,2026-07-09,put,11,0.8532,21,11.0
2026-06-18,41000,2026-07-09,put,77,0.8365,21,10.0
2026-06-18,41250,2026-07-09,put,57,0.8359,21,11.0
2026-06-18,41500,2026-07-09,put,213,0.8346,21,12.0
2026-06-18,41750,2026-07-09,put,11,0.826,21,12.0
2026-06-18,42000,2026-07-09,put,285,0.8174,21,12.0
2026-06-18,42250,2026-07-09,put,12,0.8156,21,13.0
2026-06-18,42500,2026-07-09,put,207,0.8071,21,13.0
2026-06-18,42750,2026-07-09,put,68,0.8048,21,14.0
2026-06-18,43000,2026-07-09,put,810,0.7963,21,14.0
2026-06-18,43250,2026-07-09,put,23,0.7937,21,15.0
2026-06-18,43500,2026-07-09,put,88,0.7852,21,15.0
2026-06-18,43750,2026-07-09,put,27,0.7822,21,16.0
2026-06-18,44000,2026-07-09,put,376,0.7737,21,16.0
2026-06-18,44250,2026-07-09,put,82,0.7704,21,17.0
2026-06-18,44500,2026-07-09,put,472,0.7669,21,18.0
2026-06-18,44750,2026-07-09,put,47,0.7631,21,19.0
2026-06-18,45000,2026-07-09,put,2100,0.7547,21,19.0
2026-06-18,45250,2026-07-09,put,26,0.7463,21,19.0
2026-06-18,45500,2026-07-09,put,225,0.7423,21,20.0
2026-06-18,45750,2026-07-09,put,17,0.734,21,20.0
2026-06-18,46000,2026-07-09,put,675,0.7298,21,21.0
2026-06-18,46250,2026-07-09,put,79,0.7254,21,22.0
2026-06-18,46500,2026-07-09,put,318,0.7209,21,23.0
2026-06-18,46750,2026-07-09,put,4,0.7162,21,24.0
2026-06-18,47000,2026-07-09,put,1019,0.7044,21,23.0
2026-06-18,47250,2026-07-09,put,46,0.7031,21,25.0
2026-06-18,47500,2026-07-09,put,186,0.6982,21,26.0
2026-06-18,47750,2026-07-09,put,63,0.6931,21,27.0
2026-06-18,48000,2026-07-09,put,2918,0.688,21,28.0
2026-06-18,48250,2026-07-09,put,30,0.6827,21,29.0
2026-06-18,48500,2026-07-09,put,617,0.6774,21,30.0
2026-06-18,48750,2026-07-09,put,24,0.6719,21,31.0
2026-06-18,49000,2026-07-09,put,293,0.6664,21,32.0
2026-06-18,49250,2026-07-09,put,42,0.6608,21,33.0
2026-06-18,49500,2026-07-09,put,422,0.6552,21,34.0
2026-06-18,49750,2026-07-09,put,17,0.6494,21,35.0
2026-06-18,50000,2026-07-09,put,3152,0.646,21,37.0
2026-06-18,50250,2026-07-09,put,15,0.6378,21,37.0
2026-06-18,50500,2026-07-09,put,103,0.6319,21,38.0
2026-06-18,50750,2026-07-09,put,4,0.6259,21,39.0
2026-06-18,51000,2026-07-09,put,1483,0.622,21,41.0
2026-06-18,51250,2026-07-09,put,4,0.6159,21,42.0
2026-06-18,51500,2026-07-09,put,808,0.6116,21,44.0
