date,strike,expiry,type,product,oi,iv,days_to_expiry,settlement
2026-07-31,20000,2026-08-13,put,regular,2571,1.8519,13,2.0
2026-07-31,22000,2026-08-13,put,regular,531,1.7006,13,2.0
2026-07-31,24000,2026-08-13,put,regular,431,1.5626,13,2.0
2026-07-31,25000,2026-08-13,put,regular,5325,1.4979,13,2.0
2026-07-31,26000,2026-08-13,put,regular,115,1.4357,13,2.0
2026-07-31,27000,2026-08-13,put,regular,180,1.4213,13,3.0
2026-07-31,28000,2026-08-13,put,regular,309,1.3619,13,3.0
2026-07-31,29000,2026-08-13,put,regular,280,1.3366,13,4.0
2026-07-31,30000,2026-08-13,put,regular,5563,1.2799,13,4.0
2026-07-31,31000,2026-08-13,put,regular,313,1.2494,13,5.0
2026-07-31,32000,2026-08-13,put,regular,214,1.2153,13,6.0
2026-07-31,33000,2026-08-13,put,regular,202,1.162,13,6.0
2026-07-31,34000,2026-08-13,put,regular,162,1.1265,13,7.0
2026-07-31,35000,2026-08-13,put,regular,2166,1.1023,13,9.0
2026-07-31,36000,2026-08-13,put,regular,250,1.0628,13,10.0
2026-07-31,37000,2026-08-13,put,regular,196,1.0323,13,12.0
2026-07-31,37250,2026-08-13,put,regular,3,1.0285,13,13.0
2026-07-31,37500,2026-08-13,put,regular,53,1.016,13,13.0
2026-07-31,38000,2026-08-13,put,regular,1607,1.0068,13,15.0
2026-07-31,38250,2026-08-13,put,regular,4,1.0016,13,16.0
2026-07-31,38500,2026-08-13,put,regular,82,0.9891,13,16.0
2026-07-31,38750,2026-08-13,put,regular,3,0.9834,13,17.0
2026-07-31,39000,2026-08-13,put,regular,228,0.9711,13,17.0
2026-07-31,39250,2026-08-13,put,regular,5,0.965,13,18.0
2026-07-31,39500,2026-08-13,put,regular,8,0.9587,13,19.0
2026-07-31,39750,2026-08-13,put,regular,12,0.9521,13,20.0
2026-07-31,40000,2026-08-13,put,regular,2112,0.9398,13,20.0
2026-07-31,40250,2026-08-13,put,regular,8,0.9382,13,22.0
2026-07-31,40500,2026-08-13,put,regular,33,0.9309,13,23.0
2026-07-31,40750,2026-08-13,put,regular,9,0.9234,13,24.0
2026-07-31,41000,2026-08-13,put,regular,177,0.9111,13,24.0
2026-07-31,41250,2026-08-13,put,regular,25,0.9079,13,26.0
2026-07-31,41500,2026-08-13,put,regular,14,0.904,13,28.0
2026-07-31,41750,2026-08-13,put,regular,20,0.8918,13,28.0
2026-07-31,42000,2026-08-13,put,regular,486,0.8835,13,29.0
2026-07-31,42250,2026-08-13,put,regular,1,0.8752,13,30.0
2026-07-31,42500,2026-08-13,put,regular,140,0.8703,13,32.0
2026-07-31,42750,2026-08-13,put,regular,37,0.8616,13,33.0
2026-07-31,43000,2026-08-13,put,regular,176,0.8528,13,34.0
2026-07-31,43250,2026-08-13,put,regular,10,0.8471,13,36.0
2026-07-31,43500,2026-08-13,put,regular,12,0.8441,13,39.0
2026-07-31,43750,2026-08-13,put,regular,49,0.8319,13,39.0
2026-07-31,44000,2026-08-13,put,regular,250,0.8309,13,43.0
2026-07-31,44250,2026-08-13,put,regular,9,0.8214,13,44.0
2026-07-31,44500,2026-08-13,put,regular,122,0.8143,13,46.0
2026-07-31,44750,2026-08-13,put,regular,57,0.8188,13,53.0
2026-07-31,45000,2026-08-13,put,regular,2421,0.7972,13,49.0
2026-07-31,45250,2026-08-13,put,regular,130,0.7919,13,52.0
2026-07-31,45500,2026-08-13,put,regular,203,0.7819,13,53.0
2026-07-31,45750,2026-08-13,put,regular,33,0.7802,13,58.0
2026-07-31,46000,2026-08-13,put,regular,410,0.7719,13,60.0
2026-07-31,46250,2026-08-13,put,regular,21,0.7654,13,63.0
2026-07-31,46500,2026-08-13,put,regular,281,0.7549,13,64.0
2026-07-31,46750,2026-08-13,put,regular,57,0.7463,13,66.0
2026-07-31,47000,2026-08-13,put,regular,445,0.7392,13,69.0
2026-07-31,47250,2026-08-13,put,regular,69,0.7336,13,73.0
2026-07-31,47500,2026-08-13,put,regular,352,0.726,13,76.0
2026-07-31,47750,2026-08-13,put,regular,184,0.7198,13,80.0
2026-07-31,48000,2026-08-13,put,regular,1219,0.7118,13,83.0
2026-07-31,48250,2026-08-13,put,regular,127,0.7078,13,89.0
2026-07-31,48500,2026-08-13,put,regular,370,0.698,13,91.0
2026-07-31,48750,2026-08-13,put,regular,167,0.6945,13,98.0
2026-07-31,49000,2026-08-13,put,regular,1477,0.6844,13,100.0
2026-07-31,49250,2026-08-13,put,regular,141,0.7014,13,126.0
2026-07-31,49500,2026-08-13,put,regular,611,0.6926,13,130.0
2026-07-31,49750,2026-08-13,put,regular,56,0.6796,13,130.0
2026-07-31,50000,2026-08-13,put,regular,3309,0.6511,13,115.0
2026-07-31,50250,2026-08-13,put,regular,180,0.6538,13,130.0
2026-07-31,50500,2026-08-13,put,regular,505,0.6419,13,131.0
2026-07-31,50750,2026-08-13,put,regular,811,0.6447,13,148.0
2026-07-31,51000,2026-08-13,put,regular,988,0.6272,13,143.0
2026-07-31,51250,2026-08-13,put,regular,57,0.6246,13,155.0
2026-07-31,51500,2026-08-13,put,regular,273,0.6157,13,160.0
2026-07-31,51750,2026-08-13,put,regular,48,0.6105,13,170.0
2026-07-31,52000,2026-08-13,put,regular,876,0.601,13,175.0
2026-07-31,52250,2026-08-13,put,regular,87,0.5951,13,185.0
2026-07-31,52500,2026-08-13,put,regular,555,0.5888,13,195.0
2026-07-31,52750,2026-08-13,put,regular,9,0.5787,13,200.0
2026-07-31,53000,2026-08-13,put,regular,1688,0.575,13,215.0
2026-07-31,53250,2026-08-13,put,regular,55,0.5645,13,220.0
2026-07-31,53500,2026-08-13,put,regular,336,0.5623,13,239.0
2026-07-31,53750,2026-08-13,put,regular,72,0.5547,13,250.0
2026-07-31,54000,2026-08-13,put,regular,825,0.5496,13,266.0
2026-07-31,54250,2026-08-13,put,regular,196,0.5429,13,280.0
2026-07-31,54500,2026-08-13,put,regular,729,0.5377,13,298.0
2026-07-31,54750,2026-08-13,put,regular,79,0.5316,13,315.0
2026-07-31,55000,2026-08-13,put,regular,2387,0.5193,13,320.0
2026-07-31,55250,2026-08-13,put,regular,166,0.5205,13,355.0
2026-07-31,55500,2026-08-13,put,regular,612,0.512,13,370.0
2026-07-31,55750,2026-08-13,put,regular,345,0.5073,13,395.0
2026-07-31,56000,2026-08-13,put,regular,912,0.5039,13,425.0
2026-07-31,56250,2026-08-13,put,regular,149,0.4979,13,450.0
2026-07-31,56500,2026-08-13,put,regular,1750,0.4932,13,480.0
2026-07-31,56750,2026-08-13,put,regular,43,0.4789,13,485.0
2026-07-31,56875,2026-08-13,put,regular,14,0.5099,13,600.0
2026-07-31,57000,2026-08-13,put,regular,1787,0.4817,13,540.0
2026-07-31,57125,2026-08-13,put,regular,103,0.4947,13,605.0
2026-07-31,57250,2026-08-13,put,regular,452,0.4782,13,580.0
2026-07-31,57375,2026-08-13,put,regular,17,0.4888,13,640.0
2026-07-31,57500,2026-08-13,put,regular,1310,0.4646,13,590.0
2026-07-31,57625,2026-08-13,put,regular,53,0.4882,13,695.0
2026-07-31,57750,2026-08-13,put,regular,62,0.4599,13,630.0
2026-07-31,57875,2026-08-13,put,regular,32,0.4794,13,725.0
2026-07-31,58000,2026-08-13,put,regular,3773,0.4603,13,690.0
2026-07-31,58125,2026-08-13,put,regular,517,0.4658,13,740.0
2026-07-31,58250,2026-08-13,put,regular,35,0.4497,13,715.0
2026-07-31,58375,2026-08-13,put,regular,14,0.4589,13,780.0
2026-07-31,58500,2026-08-13,put,regular,457,0.4469,13,770.0
2026-07-31,58625,2026-08-13,put,regular,11,0.458,13,845.0
2026-07-31,58750,2026-08-13,put,regular,76,0.4512,13,855.0
2026-07-31,58875,2026-08-13,put,regular,15,0.4535,13,900.0
2026-07-31,59000,2026-08-13,put,regular,1932,0.4361,13,870.0
2026-07-31,59125,2026-08-13,put,regular,43,0.4494,13,960.0
2026-07-31,59250,2026-08-13,put,regular,79,0.4433,13,975.0
2026-07-31,59375,2026-08-13,put,regular,17,0.4469,13,1030.0
2026-07-31,59500,2026-08-13,put,regular,2335,0.4306,13,1005.0
2026-07-31,59625,2026-08-13,put,regular,25,0.4375,13,1075.0
2026-07-31,59750,2026-08-13,put,regular,28,0.4367,13,1115.0
2026-07-31,59875,2026-08-13,put,regular,57,0.4321,13,1140.0
2026-07-31,60000,2026-08-13,put,regular,4010,0.4273,13,1165.0
2026-07-31,60125,2026-08-13,put,regular,102,0.4304,13,1225.0
2026-07-31,60250,2026-08-13,put,regular,97,0.4286,13,1265.0
2026-07-31,60375,2026-08-13,put,regular,43,0.4277,13,1310.0
2026-07-31,60500,2026-08-13,put,regular,610,0.4141,13,1300.0
2026-07-31,60625,2026-08-13,put,regular,399,0.4217,13,1385.0
2026-07-31,60750,2026-08-13,put,regular,46,0.4223,13,1440.0
2026-07-31,60875,2026-08-13,put,regular,28,0.4193,13,1480.0
2026-07-31,61000,2026-08-13,put,regular,2303,0.4193,13,1535.0
2026-07-31,61125,2026-08-13,put,regular,27,0.4179,13,1585.0
2026-07-31,61250,2026-08-13,put,regular,8,0.4174,13,1640.0
2026-07-31,61375,2026-08-13,put,regular,32,0.4057,13,1645.0
2026-07-31,61500,2026-08-13,put,regular,825,0.4025,13,1690.0
2026-07-31,61625,2026-08-13,put,regular,42,0.413,13,1800.0
2026-07-31,61750,2026-08-13,put,regular,63,0.4136,13,1865.0
2026-07-31,61875,2026-08-13,put,regular,11,0.4149,13,1935.0
2026-07-31,62000,2026-08-13,put,regular,2569,0.3977,13,1920.0
2026-07-31,62125,2026-08-13,put,regular,164,0.4135,13,2060.0
2026-07-31,62250,2026-08-13,put,regular,135,0.4086,13,2105.0
2026-07-31,62375,2026-08-13,put,regular,28,0.411,13,2185.0
2026-07-31,62500,2026-08-13,put,regular,986,0.4238,13,2315.0
2026-07-31,62625,2026-08-13,put,regular,34,0.4138,13,2340.0
2026-07-31,62750,2026-08-13,put,regular,370,0.4056,13,2375.0
2026-07-31,62875,2026-08-13,put,regular,510,0.4112,13,2475.0
2026-07-31,63000,2026-08-13,put,regular,2966,0.4156,13,2570.0
2026-07-31,63125,2026-08-13,put,regular,78,0.4075,13,2610.0
2026-07-31,63250,2026-08-13,put,regular,144,0.4025,13,2665.0
2026-07-31,63375,2026-08-13,put,regular,60,0.4082,13,2770.0
2026-07-31,63500,2026-08-13,put,regular,818,0.4026,13,2825.0
2026-07-31,63625,2026-08-13,put,regular,36,0.3965,13,2880.0
2026-07-31,63750,2026-08-13,put,regular,8,0.4016,13,2985.0
2026-07-31,63875,2026-08-13,put,regular,50,0.411,13,3110.0
2026-07-31,64000,2026-08-13,put,regular,2971,0.4122,13,3200.0
2026-07-31,64125,2026-08-13,put,regular,54,0.4097,13,3275.0
2026-07-31,64250,2026-08-13,put,regular,46,0.3997,13,3320.0
2026-07-31,64375,2026-08-13,put,regular,21,0.4084,13,3445.0
2026-07-31,64500,2026-08-13,put,regular,795,0.4013,13,3505.0
2026-07-31,64625,2026-08-13,put,regular,20,0.4073,13,3620.0
2026-07-31,64750,2026-08-13,put,regular,34,0.4019,13,3690.0
2026-07-31,64875,2026-08-13,put,regular,6,0.4063,13,3800.0
2026-07-31,65000,2026-08-13,put,regular,5028,0.4079,13,3900.0
2026-07-31,65125,2026-08-13,put,regular,7,0.3989,13,3960.0
2026-07-31,65250,2026-08-13,put,regular,72,0.4013,13,4065.0
2026-07-31,65375,2026-08-13,put,regular,8,0.4008,13,4160.0
2026-07-31,65500,2026-08-13,put,regular,995,0.4042,13,4270.0
2026-07-31,65625,2026-08-13,put,regular,65,0.399,13,4350.0
2026-07-31,65750,2026-08-13,put,regular,153,0.4048,13,4470.0
2026-07-31,65875,2026-08-13,put,regular,512,0.4091,13,4585.0
2026-07-31,66000,2026-08-13,put,regular,1785,0.4074,13,4680.0
2026-07-31,66125,2026-08-13,put,regular,111,0.4099,13,4790.0
2026-07-31,66250,2026-08-13,put,regular,24,0.4077,13,4885.0
2026-07-31,66375,2026-08-13,put,regular,5,0.4114,13,5000.0
2026-07-31,66500,2026-08-13,put,regular,684,0.4117,13,5105.0
2026-07-31,66625,2026-08-13,put,regular,16,0.4135,13,5215.0
2026-07-31,66750,2026-08-13,put,regular,15,0.4135,13,5320.0
2026-07-31,66875,2026-08-13,put,regular,82,0.4165,13,5435.0
2026-07-31,67000,2026-08-13,put,regular,1639,0.4212,13,5555.0
2026-07-31,67125,2026-08-13,put,regular,1,0.4189,13,5655.0
2026-07-31,67250,2026-08-13,put,regular,56,0.4197,13,5765.0
2026-07-31,67375,2026-08-13,put,regular,1,0.4222,13,5880.0
2026-07-31,67500,2026-08-13,put,regular,398,0.4246,13,5995.0
2026-07-31,67625,2026-08-13,put,regular,1,0.4269,13,6110.0
2026-07-31,67750,2026-08-13,put,regular,3,0.4251,13,6215.0
2026-07-31,68000,2026-08-13,put,regular,2402,0.4388,13,6470.0
2026-07-31,68125,2026-08-13,put,regular,2,0.4345,13,6570.0
2026-07-31,68250,2026-08-13,put,regular,191,0.4361,13,6685.0
2026-07-31,68375,2026-08-13,put,regular,12,0.4396,13,6805.0
2026-07-31,68500,2026-08-13,put,regular,221,0.4431,13,6925.0
2026-07-31,68625,2026-08-13,put,regular,1,0.4443,13,7040.0
2026-07-31,68750,2026-08-13,put,regular,6,0.4476,13,7160.0
2026-07-31,68875,2026-08-13,put,regular,6,0.4531,13,7285.0
2026-07-31,69000,2026-08-13,put,regular,1726,0.4585,13,7410.0
2026-07-31,69125,2026-08-13,put,regular,10,0.457,13,7520.0
2026-07-31,69500,2026-08-13,put,regular,602,0.4705,13,7890.0
2026-07-31,69750,2026-08-13,put,regular,1,0.4736,13,8125.0
2026-07-31,70000,2026-08-13,put,regular,3125,0.4814,13,8370.0
2026-07-31,70125,2026-08-13,put,regular,1,0.4839,13,8490.0
2026-07-31,70250,2026-08-13,put,regular,1,0.4863,13,8610.0
2026-07-31,70375,2026-08-13,put,regular,1,0.4913,13,8735.0
2026-07-31,70500,2026-08-13,put,regular,5,0.4936,13,8855.0
