date,strike,expiry,type,product,oi,iv,days_to_expiry,settlement
2026-08-07,20000,2026-08-13,put,regular,2572,2.6925,6,1.0
2026-08-07,22000,2026-08-13,put,regular,534,2.4809,6,1.0
2026-08-07,24000,2026-08-13,put,regular,563,2.2879,6,1.0
2026-08-07,25000,2026-08-13,put,regular,5446,2.1974,6,1.0
2026-08-07,26000,2026-08-13,put,regular,111,2.1105,6,1.0
2026-08-07,27000,2026-08-13,put,regular,213,2.0269,6,1.0
2026-08-07,28000,2026-08-13,put,regular,331,1.9463,6,1.0
2026-08-07,29000,2026-08-13,put,regular,403,1.8685,6,1.0
2026-08-07,30000,2026-08-13,put,regular,5623,1.7933,6,1.0
2026-08-07,31000,2026-08-13,put,regular,145,1.7206,6,1.0
2026-08-07,32000,2026-08-13,put,regular,265,1.6501,6,1.0
2026-08-07,33000,2026-08-13,put,regular,225,1.5818,6,1.0
2026-08-07,34000,2026-08-13,put,regular,208,1.5154,6,1.0
2026-08-07,35000,2026-08-13,put,regular,2164,1.4509,6,1.0
2026-08-07,36000,2026-08-13,put,regular,300,1.3882,6,1.0
2026-08-07,37000,2026-08-13,put,regular,152,1.3272,6,1.0
2026-08-07,37250,2026-08-13,put,regular,60,1.3121,6,1.0
2026-08-07,37500,2026-08-13,put,regular,97,1.2972,6,1.0
2026-08-07,37750,2026-08-13,put,regular,58,1.2824,6,1.0
2026-08-07,38000,2026-08-13,put,regular,1625,1.2677,6,1.0
2026-08-07,38250,2026-08-13,put,regular,3,1.253,6,1.0
2026-08-07,38500,2026-08-13,put,regular,90,1.2385,6,1.0
2026-08-07,38750,2026-08-13,put,regular,4,1.224,6,1.0
2026-08-07,39000,2026-08-13,put,regular,423,1.2096,6,1.0
2026-08-07,39250,2026-08-13,put,regular,20,1.1953,6,1.0
2026-08-07,39500,2026-08-13,put,regular,19,1.1811,6,1.0
2026-08-07,39750,2026-08-13,put,regular,14,1.167,6,1.0
2026-08-07,40000,2026-08-13,put,regular,2255,1.153,6,1.0
2026-08-07,40250,2026-08-13,put,regular,9,1.139,6,1.0
2026-08-07,40500,2026-08-13,put,regular,42,1.1252,6,1.0
2026-08-07,40750,2026-08-13,put,regular,9,1.1114,6,1.0
2026-08-07,41000,2026-08-13,put,regular,199,1.0976,6,1.0
2026-08-07,41250,2026-08-13,put,regular,25,1.084,6,1.0
2026-08-07,41500,2026-08-13,put,regular,66,1.0704,6,1.0
2026-08-07,41750,2026-08-13,put,regular,20,1.057,6,1.0
2026-08-07,42000,2026-08-13,put,regular,519,1.0435,6,1.0
2026-08-07,42250,2026-08-13,put,regular,36,1.0302,6,1.0
2026-08-07,42500,2026-08-13,put,regular,151,1.0169,6,1.0
2026-08-07,42750,2026-08-13,put,regular,37,1.0037,6,1.0
2026-08-07,43000,2026-08-13,put,regular,185,0.9906,6,1.0
2026-08-07,43250,2026-08-13,put,regular,17,0.9776,6,1.0
2026-08-07,43500,2026-08-13,put,regular,27,1.019,6,2.0
2026-08-07,43750,2026-08-13,put,regular,49,1.0054,6,2.0
2026-08-07,44000,2026-08-13,put,regular,345,0.9919,6,2.0
2026-08-07,44250,2026-08-13,put,regular,9,0.9785,6,2.0
2026-08-07,44500,2026-08-13,put,regular,129,0.9651,6,2.0
2026-08-07,44750,2026-08-13,put,regular,57,0.9518,6,2.0
2026-08-07,45000,2026-08-13,put,regular,2538,0.9386,6,2.0
2026-08-07,45250,2026-08-13,put,regular,130,0.9254,6,2.0
2026-08-07,45500,2026-08-13,put,regular,201,0.9123,6,2.0
2026-08-07,45750,2026-08-13,put,regular,33,0.8993,6,2.0
2026-08-07,46000,2026-08-13,put,regular,548,0.8863,6,2.0
2026-08-07,46250,2026-08-13,put,regular,23,0.8734,6,2.0
2026-08-07,46500,2026-08-13,put,regular,283,0.8605,6,2.0
2026-08-07,46750,2026-08-13,put,regular,60,0.8478,6,2.0
2026-08-07,47000,2026-08-13,put,regular,541,0.835,6,2.0
2026-08-07,47250,2026-08-13,put,regular,69,0.8223,6,2.0
2026-08-07,47500,2026-08-13,put,regular,356,0.8097,6,2.0
2026-08-07,47750,2026-08-13,put,regular,184,0.7972,6,2.0
2026-08-07,48000,2026-08-13,put,regular,1298,0.7847,6,2.0
2026-08-07,48250,2026-08-13,put,regular,127,0.7722,6,2.0
2026-08-07,48500,2026-08-13,put,regular,368,0.7874,6,3.0
2026-08-07,48750,2026-08-13,put,regular,168,0.7747,6,3.0
2026-08-07,49000,2026-08-13,put,regular,1477,0.7827,6,4.0
2026-08-07,49250,2026-08-13,put,regular,144,0.7494,6,3.0
2026-08-07,49500,2026-08-13,put,regular,563,0.7569,6,4.0
2026-08-07,49750,2026-08-13,put,regular,56,0.7243,6,3.0
2026-08-07,50000,2026-08-13,put,regular,4552,0.7474,6,5.0
2026-08-07,50250,2026-08-13,put,regular,181,0.7344,6,5.0
2026-08-07,50500,2026-08-13,put,regular,457,0.7349,6,6.0
2026-08-07,50750,2026-08-13,put,regular,724,0.7219,6,6.0
2026-08-07,51000,2026-08-13,put,regular,948,0.7088,6,6.0
2026-08-07,51250,2026-08-13,put,regular,57,0.7072,6,7.0
2026-08-07,51500,2026-08-13,put,regular,268,0.7041,6,8.0
2026-08-07,51750,2026-08-13,put,regular,48,0.6999,6,9.0
2026-08-07,52000,2026-08-13,put,regular,975,0.6777,6,8.0
2026-08-07,52250,2026-08-13,put,regular,87,0.655,6,7.0
2026-08-07,52500,2026-08-13,put,regular,488,0.6754,6,11.0
2026-08-07,52750,2026-08-13,put,regular,8,0.6547,6,10.0
2026-08-07,53000,2026-08-13,put,regular,2263,0.6338,6,9.0
2026-08-07,53250,2026-08-13,put,regular,56,0.6282,6,10.0
2026-08-07,53500,2026-08-13,put,regular,347,0.615,6,10.0
2026-08-07,53750,2026-08-13,put,regular,73,0.6266,6,14.0
2026-08-07,54000,2026-08-13,put,regular,847,0.6016,6,12.0
2026-08-07,54250,2026-08-13,put,regular,206,0.6047,6,15.0
2026-08-07,54500,2026-08-13,put,regular,702,0.5861,6,14.0
2026-08-07,54750,2026-08-13,put,regular,79,0.5824,6,16.0
2026-08-07,55000,2026-08-13,put,regular,1942,0.5641,6,15.0
2026-08-07,55250,2026-08-13,put,regular,246,0.568,6,19.0
2026-08-07,55500,2026-08-13,put,regular,607,0.558,6,20.0
2026-08-07,55750,2026-08-13,put,regular,128,0.5478,6,21.0
2026-08-07,56000,2026-08-13,put,regular,887,0.5304,6,20.0
2026-08-07,56250,2026-08-13,put,regular,171,0.53,6,24.0
2026-08-07,56500,2026-08-13,put,regular,1744,0.522,6,26.0
2026-08-07,56750,2026-08-13,put,regular,46,0.5078,6,26.0
2026-08-07,56875,2026-08-13,put,regular,12,0.5063,6,28.0
2026-08-07,57000,2026-08-13,put,regular,1289,0.4965,6,27.0
2026-08-07,57125,2026-08-13,put,regular,103,0.5047,6,33.0
2026-08-07,57250,2026-08-13,put,regular,796,0.4998,6,34.0
2026-08-07,57375,2026-08-13,put,regular,17,0.4948,6,35.0
2026-08-07,57500,2026-08-13,put,regular,991,0.4806,6,32.0
2026-08-07,57625,2026-08-13,put,regular,53,0.4845,6,37.0
2026-08-07,57750,2026-08-13,put,regular,62,0.4792,6,38.0
2026-08-07,57875,2026-08-13,put,regular,1,0.4719,6,38.0
2026-08-07,58000,2026-08-13,put,regular,3632,0.4604,6,36.0
2026-08-07,58125,2026-08-13,put,regular,517,0.4667,6,43.0
2026-08-07,58250,2026-08-13,put,regular,57,0.4629,6,45.0
2026-08-07,58375,2026-08-13,put,regular,14,0.4571,6,46.0
2026-08-07,58500,2026-08-13,put,regular,441,0.4495,6,46.0
2026-08-07,58625,2026-08-13,put,regular,11,0.4518,6,52.0
2026-08-07,58750,2026-08-13,put,regular,76,0.4441,6,52.0
2026-08-07,58875,2026-08-13,put,regular,17,0.4425,6,56.0
2026-08-07,59000,2026-08-13,put,regular,2042,0.4303,6,53.0
2026-08-07,59125,2026-08-13,put,regular,43,0.434,6,61.0
2026-08-07,59250,2026-08-13,put,regular,80,0.4288,6,63.0
2026-08-07,59375,2026-08-13,put,regular,17,0.426,6,67.0
2026-08-07,59500,2026-08-13,put,regular,2822,0.4143,6,64.0
2026-08-07,59625,2026-08-13,put,regular,25,0.4173,6,73.0
2026-08-07,59750,2026-08-13,put,regular,29,0.4115,6,75.0
2026-08-07,59875,2026-08-13,put,regular,57,0.41,6,81.0
2026-08-07,60000,2026-08-13,put,regular,3882,0.3974,6,77.0
2026-08-07,60125,2026-08-13,put,regular,110,0.4007,6,88.0
2026-08-07,60250,2026-08-13,put,regular,65,0.3973,6,93.0
2026-08-07,60375,2026-08-13,put,regular,42,0.3935,6,98.0
2026-08-07,60500,2026-08-13,put,regular,409,0.3895,6,103.0
2026-08-07,60625,2026-08-13,put,regular,409,0.3869,6,110.0
2026-08-07,60750,2026-08-13,put,regular,45,0.3824,6,115.0
2026-08-07,60875,2026-08-13,put,regular,33,0.3799,6,123.0
2026-08-07,61000,2026-08-13,put,regular,1897,0.3733,6,126.0
2026-08-07,61125,2026-08-13,put,regular,32,0.3732,6,138.0
2026-08-07,61250,2026-08-13,put,regular,2,0.3703,6,147.0
2026-08-07,61375,2026-08-13,put,regular,32,0.3671,6,156.0
2026-08-07,61500,2026-08-13,put,regular,1529,0.3622,6,163.0
2026-08-07,61625,2026-08-13,put,regular,42,0.3632,6,180.0
2026-08-07,61750,2026-08-13,put,regular,65,0.3541,6,181.0
2026-08-07,61875,2026-08-13,put,regular,14,0.3574,6,204.0
2026-08-07,62000,2026-08-13,put,regular,2706,0.3491,6,207.0
2026-08-07,62125,2026-08-13,put,regular,164,0.3511,6,230.0
2026-08-07,62250,2026-08-13,put,regular,138,0.3493,6,247.0
2026-08-07,62375,2026-08-13,put,regular,27,0.346,6,262.0
2026-08-07,62500,2026-08-13,put,regular,1412,0.3376,6,267.0
2026-08-07,62625,2026-08-13,put,regular,39,0.3386,6,293.0
2026-08-07,62750,2026-08-13,put,regular,377,0.3328,6,305.0
2026-08-07,62875,2026-08-13,put,regular,516,0.3342,6,335.0
2026-08-07,63000,2026-08-13,put,regular,3163,0.3267,6,345.0
2026-08-07,63125,2026-08-13,put,regular,85,0.3229,6,365.0
2026-08-07,63250,2026-08-13,put,regular,157,0.3262,6,405.0
2026-08-07,63375,2026-08-13,put,regular,60,0.3232,6,430.0
2026-08-07,63500,2026-08-13,put,regular,1036,0.3159,6,445.0
2026-08-07,63625,2026-08-13,put,regular,36,0.3101,6,465.0
2026-08-07,63750,2026-08-13,put,regular,21,0.3141,6,515.0
2026-08-07,63875,2026-08-13,put,regular,51,0.3122,6,550.0
2026-08-07,64000,2026-08-13,put,regular,2491,0.3048,6,570.0
2026-08-07,64125,2026-08-13,put,regular,54,0.3049,6,615.0
2026-08-07,64250,2026-08-13,put,regular,47,0.3027,6,655.0
2026-08-07,64375,2026-08-13,put,regular,22,0.3014,6,700.0
2026-08-07,64500,2026-08-13,put,regular,675,0.2947,6,730.0
